Subid,Times,Perceived_Stress,Uncertainty,Social_Threat
24,5,1,1,1
25,1,2,2,1
25,2,4,4,1
25,3,3,3,2
25,4,3,3,3
25,5,2,2,3
26,1,1,2,3
26,2,2,3,3
26,3,3,4,3
26,4,2,3,3
26,5,2,3,3
27,1,3,3,2
27,2,2,3,2
27,3,4,5,4
27,4,1,2,2
27,5,1,2,1
28,1,2,1,1
28,2,3,1,1
28,3,4,3,4
28,4,3,1,2
28,5,2,1,1
29,1,2,1,1
29,2,3,1,1
29,3,3,2,2
29,4,3,3,2
29,5,3,2,2
30,1,3,3,3
30,2,3,3,3
30,3,4,4,5
30,4,2,2,2
30,5,2,2,2
31,1,2,2,1
31,2,3,2,1
31,3,4,2,1
31,4,4,2,1
31,5,2,1,1
32,1,2,2,1
32,2,3,2,1
32,3,2,2,2
32,4,2,1,1
32,5,1,1,1
33,1,2,1,1
33,2,2,2,1
33,3,4,2,2
33,4,2,2,1
33,5,1,2,1
34,1,1,2,1
34,2,2,1,1
34,3,2,3,2
34,4,2,1,1
34,5,1,1,1
35,1,3,3,1
35,2,4,3,1
35,3,3,3,4
35,4,3,3,2
35,5,2,2,2
36,1,2,1,1
36,2,3,3,1
36,3,4,4,1
36,4,1,2,1
36,5,1,1,1
37,1,1,1,1
37,2,2,2,1
37,3,3,4,1
37,4,2,1,1
37,5,1,1,1
38,1,2,2,1
38,2,3,3,2
38,3,3,4,3
38,4,2,2,2
38,5,1,1,2
39,1,1,1,1
39,2,2,2,1
39,3,2,2,1
39,4,1,1,1
39,5,1,1,1
40,1,2,2,1
40,2,1,2,1
40,3,1,2,1
40,4,1,2,1
40,5,1,1,1
42,1,2,3,1
42,2,3,4,2
42,3,4,4,3
42,4,3,3,2
42,5,3,2,1
43,1,2,1,1
43,2,2,1,1
43,3,1,1,1
43,4,1,1,1
43,5,2,1,1
44,1,2,2,1
44,2,2,1,1
44,3,4,1,1
44,4,2,1,1
44,5,1,1,1
45,1,2,2,1
45,2,2,2,1
45,3,3,2,1
45,4,1,1,1
45,5,1,1,1
46,1,2,1,1
46,2,2,2,1
46,3,3,3,2
46,4,2,2,1
46,5,2,1,1
48,1,1,1,1
48,2,2,1,1
48,3,2,4,1
48,4,2,1,1
48,5,1,1,1
49,1,1,2,3
49,2,2,2,3
49,3,4,3,4
49,4,2,2,3
49,5,1,1,2
50,1,1,1,1
50,2,1,1,1
50,3,2,3,1
50,4,1,1,1
50,5,1,1,1
51,1,2,1,1
51,2,1,1,1
51,3,3,2,2
51,4,2,1,1
51,5,1,2,1
52,1,1,1,1
52,2,2,2,1
52,3,4,4,2
52,4,3,2,2
52,5,2,2,1
53,1,1,1,1
53,2,1,1,1
53,3,3,1,1
53,4,1,1,1
53,5,1,1,1
54,1,1,1,1
54,2,1,1,1
54,3,3,1,1
54,4,2,1,1
54,5,1,1,1
55,1,2,1,1
55,2,2,2,1
55,3,3,3,3
55,4,2,2,2
55,5,2,1,1
56,1,1,1,1
56,2,3,2,1
56,3,3,3,2
56,4,2,2,1
56,5,1,1,1
57,1,1,2,2
57,2,1,2,2
57,3,2,2,2
57,4,1,1,1
57,5,1,1,1
58,1,1,2,1
58,2,2,2,1
58,3,3,4,2
58,4,3,3,1
58,5,2,2,1
59,1,2,3,1
59,2,4,4,3
59,3,2,1,1
59,4,1,1,1
59,5,2,1,1
60,1,1,1,1
60,2,2,2,1
60,3,3,3,1
60,4,2,2,1
60,5,1,1,1
61,1,2,2,1
61,2,1,2,1
61,3,2,2,2
61,4,1,1,1
61,5,1,1,1
63,1,1,1,1
63,2,2,2,1
63,3,2,2,2
63,4,1,1,2
63,5,1,1,1
66,1,1,1,1
66,2,2,2,1
66,3,3,4,1
66,4,1,1,1
66,5,1,1,1
67,1,2,1,2
67,2,2,2,1
67,3,4,3,3
67,4,2,3,2
67,5,2,1,1
68,1,1,1,1
68,2,1,1,1
68,3,3,4,1
68,4,1,1,1
68,5,1,1,1
69,1,1,1,1
69,2,1,1,1
69,3,1,1,1
69,4,1,1,1
69,5,1,1,1
70,1,1,1,1
70,2,1,1,1
70,3,2,3,1
70,4,2,1,1
70,5,1,1,1
71,1,2,1,2
71,2,3,3,1
71,3,3,3,1
71,4,1,2,1
71,5,1,1,1
73,1,1,1,1
73,2,2,1,1
73,3,4,2,2
73,4,1,1,1
73,5,1,1,1
74,1,2,1,1
74,2,2,1,1
74,3,3,2,1
74,4,2,1,1
74,5,1,1,1
75,1,1,1,1
75,2,2,1,1
75,3,2,2,2
75,4,2,1,1
75,5,2,1,1
78,1,1,1,1
78,2,1,1,1
78,3,2,1,1
78,4,1,1,1
78,5,1,1,1
79,1,2,1,1
79,2,1,1,1
79,3,4,4,5
79,4,2,2,1
79,5,1,1,1
80,1,3,2,1
80,2,3,3,2
80,3,3,2,2
80,4,2,2,1
80,5,2,1,1
81,1,4,3,3
81,2,4,4,4
81,3,5,4,4
81,4,3,2,2
81,5,2,1,2
82,1,2,1,1
82,2,2,1,1
82,3,3,4,1
82,4,2,2,1
82,5,2,2,1
83,1,3,2,1
83,2,1,2,1
83,3,3,3,1
83,4,2,1,1
83,5,1,1,1
85,1,3,4,1
85,2,2,3,1
85,3,4,4,2
85,4,2,2,1
85,5,1,1,1
86,1,1,1,1
86,2,2,1,1
86,3,2,1,1
86,4,1,1,1
86,5,1,1,1
87,1,2,3,1
87,2,4,2,1
87,3,4,4,4
87,4,1,2,1
87,5,1,1,1
88,1,2,2,1
88,2,1,1,1
88,3,4,3,1
88,4,2,1,1
88,5,1,1,1
90,1,2,1,1
90,2,2,1,1
90,3,3,1,1
90,4,1,1,1
90,5,1,1,1
91,1,1,1,1
91,2,1,1,1
91,3,3,5,2
91,4,1,2,1
91,5,1,1,1
92,1,2,2,2
92,2,2,2,2
92,3,2,3,3
92,4,1,1,2
92,5,1,1,1
93,1,1,1,1
93,2,1,1,1
93,3,4,4,2
93,4,1,1,1
93,5,1,1,1
94,1,2,1,2
94,2,2,3,2
94,3,3,4,3
94,4,2,2,2
94,5,1,2,1
95,1,2,2,1
95,2,2,2,1
95,3,2,2,2
95,4,1,1,1
95,5,1,1,1
98,1,3,2,1
98,2,3,2,1
98,3,5,4,1
98,4,2,1,1
98,5,1,1,1
99,1,2,1,1
99,2,2,1,1
99,3,1,1,1
99,4,1,1,1
99,5,1,1,1
101,1,2,2,1
101,2,2,3,1
101,3,3,3,2
101,4,2,2,1
101,5,1,1,1
104,1,1,1,1
104,2,1,1,2
104,3,2,2,2
104,4,1,1,1
104,5,1,1,1
105,1,2,3,1
105,2,3,3,2
105,3,5,4,2
105,4,1,1,1
105,5,1,1,1
106,1,2,2,1
106,2,3,2,2
106,3,4,3,3
106,4,3,2,2
106,5,2,2,1
107,1,1,1,1
107,2,1,1,1
107,3,1,1,1
107,4,1,1,1
107,5,1,1,1
108,1,1,1,1
108,2,2,2,1
108,3,4,2,1
108,4,3,2,1
108,5,3,2,1
